timestamp,open,high,low,close,volume
1784484000,16219.50,16223.00,16218.25,16221.75,2575
1784484900,16221.00,16223.00,16219.25,16221.25,2841
1784485800,16222.00,16222.75,16218.75,16221.00,2471
1784486700,16223.00,16224.25,16219.00,16220.75,2422
1784487600,16219.00,16221.00,16218.75,16220.50,2936
1784488500,16222.00,16224.00,16218.75,16221.25,2828
1784489400,16219.00,16221.75,16218.00,16220.50,3405
1784490300,16221.50,16222.75,16219.50,16220.50,2727
1784491200,16220.25,16221.75,16218.25,16220.75,2172
1784492100,16219.50,16221.25,16217.00,16220.00,2207
1784493000,16220.00,16220.75,16216.50,16219.00,2128
1784493900,16218.25,16218.50,16217.50,16218.00,3111
1784494800,16217.00,16219.50,16215.75,16217.75,2355
1784495700,16217.00,16219.25,16215.75,16218.00,2348
1784496600,16217.25,16221.00,16215.25,16218.75,2215
1784497500,16217.75,16220.00,16216.75,16218.50,2153
1784498400,16218.75,16219.75,16216.75,16218.75,2757
1784499300,16218.50,16221.00,16218.00,16218.50,2226
1784500200,16218.75,16219.75,16217.25,16217.75,2958
1784501100,16218.00,16220.00,16216.75,16217.00,2665
1784502000,16216.75,16217.50,16213.50,16216.50,3132
1784502900,16215.00,16218.50,16213.50,16216.75,2496
1784503800,16217.00,16218.25,16215.50,16216.50,2937
1784504700,16216.00,16217.50,16214.50,16216.25,3214
1784505600,16216.50,16217.25,16215.25,16216.00,3162
1784506500,16215.25,16217.75,16214.00,16216.00,3157
1784507400,16215.75,16217.75,16214.25,16215.50,2931
1784508300,16214.50,16217.00,16213.00,16215.00,3794
1784509200,16215.75,16219.75,16212.75,16215.00,3126
1784510100,16213.75,16214.75,16213.00,16214.00,3074
1784511000,16212.50,16215.75,16211.00,16213.50,2331
1784511900,16211.75,16214.50,16210.00,16213.25,3497
1784512800,16215.00,16215.25,16211.00,16212.75,2523
1784513700,16213.75,16216.00,16209.25,16212.00,2623
1784514600,16214.75,16216.00,16209.75,16211.25,2473
1784515500,16212.75,16214.50,16208.75,16211.00,2633
1784516400,16214.50,16221.50,16200.00,16210.00,10702
1784517300,16205.00,16210.75,16190.50,16202.75,9638
1784518200,16207.00,16211.25,16176.50,16184.50,13953
1784519100,16176.25,16181.25,16160.50,16168.00,10662
1784520000,16170.75,16176.75,16136.00,16143.75,11916
1784520900,16148.50,16152.75,16112.00,16123.00,9696
1784521800,16114.00,16118.50,16088.50,16097.25,14003
1784522700,16100.00,16104.75,16070.00,16077.50,8448
1784523600,16074.50,16080.00,16050.25,16059.50,9768
1784524500,16061.25,16063.25,16046.50,16050.75,4048
1784525400,16050.50,16054.25,16043.50,16047.00,4266
1784526300,16044.75,16049.00,16043.25,16046.00,2852
1784527200,16042.75,16049.25,16040.75,16047.25,3526
1784528100,16047.00,16052.50,16045.00,16050.00,3641
1784529000,16050.00,16056.25,16045.75,16052.50,4774
1784529900,16051.25,16056.75,16049.50,16053.75,3038
1784530800,16051.25,16059.75,16047.75,16056.00,4291
1784531700,16058.00,16062.50,16054.00,16059.00,4143
1784532600,16057.50,16065.50,16054.50,16062.00,4965
1784533500,16060.00,16067.50,16056.25,16065.00,3153
1784534400,16062.25,16073.25,16061.00,16068.00,6223
1784535300,16068.50,16076.75,16065.00,16072.00,5747
1784536200,16074.50,16079.50,16072.50,16075.75,5849
1784537100,16075.50,16085.00,16071.00,16081.25,4848
1784538000,16081.50,16091.75,16078.25,16088.75,4982
1784538900,16091.75,16095.75,16088.25,16092.75,5825
1784539800,16091.25,16103.25,16088.75,16098.25,5112
1784540700,16098.75,16109.50,16096.00,16106.25,6506
1784541600,16107.50,16117.50,16105.50,16112.50,6010
1784542500,16113.50,16122.50,16111.25,16117.75,5062
1784543400,16121.25,16124.50,16119.50,16122.25,7156
1784544300,16118.50,16135.25,16116.75,16130.50,4028
1784545200,16133.25,16142.25,16131.75,16138.50,6792
1784546100,16132.75,16148.25,16131.25,16144.75,6813
1784547000,16145.25,16153.50,16141.75,16150.00,4988
1784547900,16148.00,16158.50,16144.75,16154.75,5559
1784548800,16155.50,16160.25,16152.25,16157.00,10560
1784549700,16155.50,16165.75,16153.00,16161.25,6616
1784550600,16159.00,16175.00,16155.50,16171.00,9399
1784551500,16171.00,16180.75,16168.25,16178.50,6073
1784552400,16184.25,16188.25,16181.75,16185.50,8132
1784553300,16187.00,16195.00,16184.75,16190.75,7406
1784554200,16191.00,16198.25,16190.25,16193.75,5867
1784555100,16191.75,16205.00,16189.00,16198.75,8353
1784556000,16202.25,16208.25,16198.50,16204.25,7586
1784556900,16199.25,16215.75,16197.25,16212.00,9913
1784557800,16210.00,16221.50,16206.00,16218.50,5278
1784558700,16214.75,16229.00,16212.00,16224.50,8334
1784559600,16228.25,16232.50,16227.00,16229.50,6411
1784560500,16234.00,16238.75,16231.50,16235.00,4563
1784561400,16234.25,16244.75,16231.50,16242.25,8201
1784562300,16240.25,16251.75,16238.50,16248.50,7857
1784563200,16241.00,16257.25,16239.00,16253.00,7124
1784564100,16253.50,16261.75,16250.75,16257.25,6769
1784565000,16261.50,16265.00,16258.25,16260.75,8526
1784565900,16264.00,16268.25,16260.00,16263.25,7215
